allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,1st choice,,10%,313/100g,40%,11%,7%,32%,dry,,9.0%,36.0%,10.0%,6.0%,10.0%,29.0%,"Chicken,chicken meal,rice,pea protein,brown rice,pearled barley,oat groats,beet pulp,pea fiber,natural flavor,chicken fat naturally preserved with mixed tocopherols,dried tomato pomace,whole flaxseed,lecithin,potassium chloride,choline chloride,salt,calcium carbonate,calcium propionate (as a preservative),sodium bisulfate,taurine,DL-methionine,L-lysine,yeast extract,ferrous sulfate,ascorbic acid (vitamin C),chicory extract,zinc oxide,sodium selenite,alpha-tocopherol acetate (a source of vitamin E),glucosamine sulfate,nicotinic acid,Yucca schidigera extract,chondroitin sulfate,L-cystine,calcium iodate,manganous oxide,L-carnitine,D-calcium pantothenate,thiamine mononitrate,riboflavin,pyridoxine hydrochloride,vitamin A supplement,cholecalciferol (a source of vitamin D3),biotin,dried spearmint,dried parsley,green tea extract,zinc proteinate,vitamin B12 supplement,cobalt carbonate,folic acid,manganese proteinate,copper proteinate",[3],Weight Control,[2],,
,1st choice,,10%,373/100g,31%,22%,3%,33%,dry,,9.0%,28.0%,20.0%,3.0%,10.0%,30.0%,"Chicken,chicken meal,rice,chicken fat naturally preserved with mixed tocopherols,pea protein,brown rice,herring meal,dried egg product,beet pulp,pearled barley,oat groats,natural flavor,pea fiber,whole flaxseed,dried tomato pomace,salmon oil,potassium chloride,lecithin,choline chloride,salt,calcium propionate (as a preservative),sodium bisulfate,calcium carbonate,taurine,DL-methionine,L-lysine,yeast extract,ferrous sulfate,ascorbic acid (vitamin C),chicory extract,zinc oxide,sodium selenite,alpha-tocopherol acetate (a source of vitamin E),nicotinic acid,Yucca schidigera extract,calcium iodate,manganous oxide,D-calcium pantothenate,thiamine mononitrate,riboflavin,pyridoxine hydrochloride,vitamin A supplement,cholecalciferol (a source of vitamin D3),biotin,dried spearmint,dried parsley,green tea extract,zinc proteinate,vitamin B12 supplement,cobalt carbonate,folic acid,manganese proteinate,copper proteinate",[3],Finicky,[2],,
,1st choice,,10%,363/100g,28%,22%,7%,33%,dry,,9.0%,25.0%,20.0%,6.0%,10.0%,30.0%,"Salmon,menhaden meal,rice,pea protein,chicken fat naturally preserved with mixed tocopherols,dried egg product,beet pulp,pea fiber,natural flavor,brown rice,pearled barley,oat groats,whole flaxseed,salmon oil,dried tomato pomace,potassium chloride,lecithin,calcium carbonate,choline chloride,salt,calcium propionate (as a preservative),sodium bisulfate,taurine,DL-methionine,L-lysine,yeast extract,ferrous sulfate,ascorbic acid (vitamin C),chicory extract,zinc oxide,sodium selenite,alpha-tocopherol acetate (a source of vitamin E),nicotinic acid,Yucca schidigera extract,L-cystine,calcium iodate,manganous oxide,L-carnitine,D-calcium pantothenate,thiamine mononitrate,riboflavin,pyridoxine hydrochloride,vitamin A supplement,cholecalciferol (a source of vitamin D3),biotin,dried spearmint,dried parsley,green tea extract,zinc proteinate,vitamin B12 supplement,cobalt carbonate,folic acid,manganese proteinate,copper proteinate",[2],Healthy Skin & Coat,[2],,
,1st choice,,10%,326/100g,40%,13%,6%,31%,dry,,9.0%,36.0%,12.0%,5.0%,10.0%,28.0%,"Sweet potatoes,duck,rice protein,pea protein,vegetable oil,beet pulp,natural flavor,calcium carbonate,lecithin,pea fiber,monocalcium phosphate,whole flaxseed,salmon oil,dehydrated alfalfa,potassium chloride,choline chloride,monosodium phosphate,salt,calcium propionate (as a preservative),sodium bisulfate,taurine,DL-methionine,yeast extract (a source of mannan-oligosaccharides),L-lysine,ferrous sulfate,ascorbic acid (vitamin C),chicory extract (a source of inulin),L-cystine,zinc oxide,sodium selenite,alpha-tocopherol acetate (a source of vitamin E),glucosamine sulfate,nicotinic acid,Yucca schidigera extract,chondroitin sulfate,calcium iodate,manganous oxide,L-carnitine,D-calcium pantothenate,thiamine mononitrate,riboflavin,pyridoxine hydrochloride,vitamin A supplement,cholecalciferol (a source of vitamin D3),biotin,dried spearmint,dried parsley,green tea extract,dried ginger,zinc proteinate,vitamin B12 supplement,cobalt carbonate,folic acid,manganese proteinate,copper proteinate",[2],Hypoallergenic,[1],,
,1st choice,,11%,308/100g,37%,10%,6%,37%,dry,,10.0%,33.0%,9.0%,5.0%,10.0%,33.0%,"Chicken meal,chicken,sweet potatoes,rice protein,lentils,tapioca,pea fiber,natural flavor,flaxseed,salt,chicken fat (preserved with mixed tocopherols and citric acid),potassium chloride,minerals (ferrous sulfate,zinc oxide,manganous oxide,zinc proteinate,manganese proteinate,sodium selenite,copper proteinate,calcium iodate),vitamins (alpha-tocopherol acetate (a source of vitamin E),nicotinic acid,D-calcium pantothenate,vitamin A supplement,cholecalciferol (a source of vitamin D3),thiamine mononitrate,biotin,riboflavin,pyridoxine hydrochloride,vitamin B12 supplement,folic acid),choline chloride,dried kelp,sodium bisulfate,DL-methionine,taurine,L-lysine,sunflower oil extract,ascorbic acid (vitamin C),Yucca schidigera extract,rosemary extract,L-carnitine,suncured alfalfa,dried pineapple,ginger,spearmint,parsley,green tea extract",[3],Sterilized,[2],,
,1st choice,,9%,345/100g,36%,17%,6%,33%,dry,,8.0%,32.0%,15.0%,5.0%,10.0%,30.0%,"Chicken,chicken meal,rice,Prairie meal,lentils,tapioca,chicken fat (preserved with mixed tocopherols),dried beet pulp,potato protein,pea fiber,natural flavor,flaxseed,lecithin,calcium carbonate,potassium chloride,choline chloride,salt,minerals [ferrous sulfate,zinc oxide,manganous oxide,sodium selenite,calcium iodate],vitamins [ascorbic acid (vitamin C),alpha-tocopherol acetate (a source of vitamin E),nicotinic acid,D-calcium pantothenate,thiamine mononitrate,vitamin A supplement,cholecalciferol (a source of vitamin D3),biotin,riboflavin,pyridoxine hydrochloride,vitamin B12 supplement,folic acid],sodium bisulfate,DL-methionine,taurine,L-lysine,Yucca schidigera extract,rosemary extract,dried cranberry,L-carnitine,suncured alfalfa,dried pineapple,ginger,spearmint,parsley,green tea extract",[3],Urinary Health,[2],,
,4health,,0%,98/100g,16%,27%,11%,45%,wet,,0.0%,3.5%,6.0%,2.5%,78.0%,10.0%,"Chicken,Chicken Broth,Chicken Liver,Fish,Turkey,Potatoes,Beet Pulp,Pea Fiber,Pea Protein,Ground Flaxseed,Natural Flavor,Carrageenan,Pumpkin,Inulin,Salt,Potassium Chloride,Taurine,Choline Chloride,Yucca Schidigera Extract,Zinc Proteinate,Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate (Source Of Ascorbic Acid),Iron Proteinate,Thiamine Mononitrate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid",[4],Special Care Sensitive Stomach Formula,[3],,
,4health,,0%,102/100g,25%,27%,7%,41%,wet,,0.0%,5.5%,6.0%,1.5%,78.0%,9.0%,"Chicken,Chicken Broth,Liver,Dried Egg Product,Brewer'S Rice,Salmon,Dried Potatoes,Barley,Cellulose Fiber,Peas,Guar Gum,Potassium Chloride,Flaxseed Meal,Carrots,Dried Cranberries,Dried Blueberries,Apples,Carrageenan,Taurine,Dried Chicory Root,Yucca Schidigera Extract,Dried Kelp,Salt,Dried Parsley,Iron Proteinate,Zinc Proteinate,Vitamin E Supplement,Choline Chloride,Thiamine Mononitrate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid",[2],Indoor Chicken Formula,[3],,
,4health,,13%,96/100g,12%,30%,5%,41%,wet,,2.8%,2.7%,6.5%,1.0%,78.0%,9.0%,"Turkey Broth,Turkey,Chicken,Poultry Giblets,Dried Egg Product,Guar Gum,Potassium Chloride,Salt,Carrageenan,Minerals (Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Cobalt Amino Acid Chelate,Potassium Iodide),Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Choline Chloride,Taurine",[2],Grain Free Turkey & Giblets Dinner,[3],,
,4health,,16%,69/100g,11%,22%,7%,44%,wet,,2.8%,2.0%,4.0%,1.2%,82.0%,8.0%,"Fish Broth,Salmon,Chicken,Chicken Liver,Dried Egg White,Potato Starch,Dried Egg Product,Guar Gum,Natural Flavor,Salt,Sodium Phosphate,Potassium Chloride,Calcium Carbonate,Minerals (Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Potassium Iodide),Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Choline Chloride",[3],Grain Free Shredded Salmon & Chicken Dinner in Gravy,[4],,
